SaleID,Date,ProductID,CustomerID,Quantity,UnitPrice
3818,12/7/2023,139,30,7,242
3476,12/7/2023,157,113,14,390
4066,12/7/2023,23,188,9,229
1744,12/7/2023,102,85,10,130
3139,12/7/2023,198,464,16,302
3435,12/7/2023,73,252,2,421
3158,12/7/2023,143,282,11,101
1696,12/7/2023,113,253,11,247
4955,12/7/2023,88,438,16,220
2273,12/8/2023,53,14,12,122
9,12/8/2023,78,89,7,319
4611,12/8/2023,166,199,3,400
4548,12/8/2023,139,286,10,242
101,12/8/2023,180,216,18,237
4887,12/8/2023,25,328,14,326
2177,12/8/2023,24,50,6,26
20,12/9/2023,171,475,5,473
246,12/9/2023,165,417,19,273
1157,12/9/2023,24,400,15,26
4685,12/9/2023,76,439,2,350
2711,12/9/2023,48,327,5,388
4232,12/9/2023,3,121,15,151
1667,12/10/2023,20,377,10,392
3593,12/10/2023,107,312,11,390
3106,12/10/2023,58,197,10,86
3828,12/10/2023,69,229,12,192
360,12/10/2023,14,19,19,483
3257,12/10/2023,71,320,13,278
2585,12/10/2023,195,117,13,486
282,12/10/2023,109,224,17,302
400,12/10/2023,148,387,4,217
4439,12/10/2023,83,271,6,313
7,12/11/2023,119,214,19,414
2596,12/11/2023,182,284,3,178
3983,12/11/2023,106,335,16,53
4796,12/11/2023,80,37,14,413
3660,12/11/2023,95,462,15,295
563,12/11/2023,16,264,4,152
3913,12/11/2023,188,267,4,51
3035,12/11/2023,163,415,11,376
3120,12/12/2023,99,254,5,428
3768,12/12/2023,57,470,15,349
94,12/12/2023,98,171,8,433
3993,12/12/2023,11,157,15,279
420,12/12/2023,153,342,5,327
696,12/12/2023,134,299,12,138
4240,12/12/2023,85,184,2,442
2852,12/13/2023,111,180,18,308
2454,12/13/2023,29,231,6,487
3108,12/13/2023,186,163,18,372
1244,12/13/2023,72,226,9,35
1631,12/13/2023,167,259,19,13
4779,12/13/2023,50,169,2,197
1115,12/14/2023,27,105,2,78
4086,12/14/2023,190,266,1,103
1082,12/14/2023,67,489,18,418
2710,12/14/2023,130,358,16,301
1731,12/14/2023,175,493,12,33
2138,12/14/2023,66,39,1,415
4113,12/14/2023,85,216,15,442
3439,12/15/2023,17,92,11,269
240,12/15/2023,99,113,14,428
1009,12/15/2023,131,490,15,91
3326,12/15/2023,111,305,14,308
3554,12/15/2023,189,326,5,284
4944,12/15/2023,45,125,4,348
469,12/15/2023,190,460,12,103
4288,12/15/2023,141,217,6,447
1895,12/15/2023,3,394,5,151
926,12/16/2023,17,363,6,269
489,12/16/2023,4,238,1,143
1327,12/16/2023,99,256,11,428
509,12/16/2023,116,447,18,144
4608,12/16/2023,44,217,9,206
1400,12/16/2023,8,288,8,85
4297,12/16/2023,109,487,4,302
998,12/16/2023,32,89,5,40
1023,12/16/2023,191,180,11,392
1560,12/16/2023,81,139,10,345
4338,12/16/2023,184,68,7,363
42,12/17/2023,26,281,5,425
2235,12/17/2023,192,141,7,19
90,12/17/2023,122,264,1,368
1887,12/17/2023,124,442,18,138
4561,12/17/2023,120,390,18,299
2929,12/17/2023,176,268,15,106
663,12/18/2023,161,147,3,62
2347,12/18/2023,21,467,5,452
4185,12/18/2023,43,254,3,331
2617,12/18/2023,39,426,9,317
2795,12/18/2023,38,307,12,339
2215,12/18/2023,91,200,2,120
2136,12/18/2023,97,23,9,341
997,12/18/2023,16,331,9,152
4702,12/19/2023,114,308,6,195
3754,12/19/2023,56,320,18,291
4063,12/19/2023,40,231,13,192
2546,12/19/2023,28,3,4,350
4481,12/19/2023,28,123,4,350
3793,12/19/2023,190,150,15,103
4553,12/19/2023,95,440,16,295
661,12/20/2023,35,229,10,462
4244,12/20/2023,189,278,3,284
1808,12/20/2023,158,268,6,476
3227,12/20/2023,73,97,2,421
1395,12/20/2023,134,206,5,138
813,12/20/2023,143,160,13,101
689,12/20/2023,150,416,11,488
1485,12/20/2023,16,71,7,152
2442,12/20/2023,193,480,11,162
2409,12/21/2023,53,111,13,122
667,12/21/2023,58,239,9,86
2935,12/21/2023,63,364,8,285
146,12/21/2023,82,29,7,52
3457,12/21/2023,30,100,8,84
2253,12/21/2023,74,331,13,329
1523,12/21/2023,61,61,2,25
4227,12/21/2023,150,339,5,488
1993,12/21/2023,81,105,16,345
4759,12/21/2023,193,206,17,162
3786,12/22/2023,139,291,14,242
4139,12/22/2023,25,448,10,326
1584,12/22/2023,197,287,15,131
4801,12/22/2023,106,183,18,53
1421,12/22/2023,176,52,14,106
2031,12/22/2023,129,80,12,252
1277,12/22/2023,194,262,18,129
3489,12/23/2023,116,471,19,144
4394,12/23/2023,24,330,10,26
3173,12/23/2023,173,115,16,463
2528,12/23/2023,124,279,6,138
266,12/23/2023,123,364,4,68
3167,12/24/2023,138,279,6,174
3949,12/24/2023,26,452,3,425
3071,12/24/2023,89,9,5,262
978,12/24/2023,121,124,2,103
3891,12/24/2023,3,499,6,151
4941,12/25/2023,10,266,11,210
2365,12/25/2023,23,167,14,229
197,12/25/2023,154,4,4,477
4773,12/25/2023,198,108,9,302
3041,12/25/2023,92,233,4,39
2775,12/25/2023,88,64,8,220
3799,12/26/2023,29,377,12,487
3246,12/26/2023,152,232,11,126
275,12/26/2023,175,324,10,33
3731,12/26/2023,1,346,17,443
3714,12/27/2023,78,95,2,319
2453,12/27/2023,93,318,5,352
1379,12/27/2023,182,364,7,178
2082,12/27/2023,80,316,5,413
4277,12/27/2023,148,205,13,217
3837,12/28/2023,4,27,3,143
3658,12/28/2023,13,54,17,230
4294,12/28/2023,185,207,10,202
3497,12/28/2023,200,174,7,471
1034,12/28/2023,95,90,15,295
3042,12/29/2023,161,84,11,62
1222,12/29/2023,63,348,5,285
1512,12/29/2023,14,69,5,483
4534,12/29/2023,192,107,18,19
1,12/30/2023,22,188,15,330
2692,12/30/2023,128,498,5,273
4655,12/30/2023,47,184,15,364
4502,12/30/2023,67,32,17,418
3343,12/30/2023,118,82,18,178
928,12/31/2023,119,304,19,414
557,12/31/2023,98,281,1,433
1040,12/31/2023,90,381,11,324
1509,12/31/2023,12,177,18,401
27,1/1/2024,58,88,7,86
2141,1/1/2024,182,486,3,178
4599,1/1/2024,47,485,14,364
3736,1/1/2024,70,63,15,54
2462,1/1/2024,72,208,8,35
2381,1/1/2024,145,410,2,343
991,1/1/2024,48,243,18,388
4026,1/1/2024,112,9,1,217
1078,1/1/2024,179,103,18,80
1546,1/1/2024,12,240,12,401
2862,1/2/2024,41,13,14,150
3330,1/2/2024,74,254,11,329
4906,1/2/2024,153,335,12,327
1768,1/2/2024,81,42,3,345
4543,1/3/2024,86,194,18,406
3696,1/3/2024,98,302,14,433
2112,1/3/2024,141,268,17,447
3155,1/3/2024,140,357,4,239
3572,1/3/2024,185,58,13,202
2234,1/3/2024,112,262,4,217
4222,1/4/2024,119,278,16,414
3742,1/4/2024,178,212,19,389
337,1/4/2024,100,370,7,183
1321,1/4/2024,23,496,9,229
1128,1/4/2024,62,15,14,198
3748,1/4/2024,77,446,11,264
2293,1/4/2024,48,78,19,388
1150,1/4/2024,112,79,14,217
3636,1/4/2024,32,43,3,40
843,1/4/2024,83,117,15,313
3301,1/4/2024,12,335,6,401
3792,1/5/2024,119,296,8,414
3265,1/5/2024,9,255,19,341
3711,1/5/2024,147,272,11,494
3690,1/5/2024,186,328,2,372
335,1/5/2024,33,76,4,490
1545,1/5/2024,167,343,17,13
1862,1/5/2024,36,297,12,93
3126,1/5/2024,94,273,10,489
2161,1/6/2024,100,212,2,183
1410,1/6/2024,67,123,16,418
841,1/6/2024,23,442,11,229
4110,1/6/2024,23,287,1,229
2225,1/6/2024,76,168,8,350
136,1/6/2024,106,84,2,53
4697,1/6/2024,34,136,15,217
1233,1/6/2024,146,267,13,422
2789,1/6/2024,95,132,11,295
496,1/7/2024,136,201,17,84
461,1/7/2024,16,238,5,152
4236,1/8/2024,103,349,10,375
3552,1/8/2024,91,489,17,120
1943,1/8/2024,34,48,8,217
4556,1/8/2024,77,357,8,264
3514,1/8/2024,87,69,11,499
1513,1/8/2024,16,472,2,152
459,1/9/2024,4,158,4,143
3872,1/9/2024,141,338,13,447
1255,1/10/2024,17,307,8,269
2311,1/10/2024,20,293,19,392
1833,1/10/2024,40,237,11,192
1030,1/10/2024,180,313,15,237
2729,1/10/2024,39,432,3,317
3143,1/10/2024,103,417,6,375
549,1/10/2024,73,190,1,421
4825,1/10/2024,185,260,7,202
3880,1/10/2024,118,390,19,178
589,1/11/2024,131,384,5,91
1190,1/11/2024,30,19,11,84
4073,1/11/2024,19,162,10,328
3324,1/11/2024,44,199,16,206
1135,1/11/2024,48,158,9,388
3757,1/12/2024,128,269,9,273
1956,1/12/2024,28,432,14,350
2476,1/12/2024,178,162,14,389
986,1/12/2024,89,187,11,262
